mode,run_name,session_id,plan_reject_count,planning_failure_count,answer_failure_count,infra_failure_count,other_failure_count,dominant_category,dominant_failure_type,stalled,empty_plan_count,first_error,text_success_attempt,text_success_observe_index,text_total_attempts_until_success,text_total_attempts_observed,text_observe_blocks,text_success_found,image_success_attempt,image_success_observe_index,image_total_attempts_until_success,image_total_attempts_observed,image_observe_blocks,image_success_found,category_planning_format,sample_planning_format,category_planning_completeness,sample_planning_completeness,category_planning_schema_key,sample_planning_schema_key,category_answer_option_mapping,sample_answer_option_mapping,category_answer_value_constraints,sample_answer_value_constraints,category_infra_or_transport,sample_infra_or_transport,category_other,sample_other
completion,run_61,e6beae09b277aaed6fa56a8f17c24d7b,19,18,1,0,0,planning_completeness,planning,True,6,Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact'],2,2,5,5,2,True,,,,15,5,False,0,,10,Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact'],8,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_q1_a'}",0,,1,"Missing/invalid value for fill: {'tool': 'click', 'key': 'field_10'}",0,,0,
completion,run_62,8c604a151fe18f625e86f5d3a2e984bf,4,4,0,0,0,planning_completeness,planning,False,2,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,1,2,2,1,True,1,2,4,4,2,True,0,,4,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,0,,0,,0,,0,
completion,run_63,6d21ab6d1efe9db3c4b64bc896e75999,17,16,1,0,0,planning_completeness,planning,False,6,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,5,14,14,5,True,2,2,5,5,2,True,0,,16,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,1,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'attention_image_mid'}",0,,0,,0,
completion,run_64,ca137dd6b8e045f27a95864d130f81d4,15,15,0,0,0,planning_schema_key,planning,True,5,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'trust_coverage >> nth=3'}",,,,15,5,False,,,,0,0,False,0,,2,"Completion mode requires answering all answerable items before navigation; missing keys: ['age', 'follow_by_age', 'employment_status', 'watch_time', 'attention_text_mid', 'country_satisfaction', 'future_interest', 'favor",13,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'trust_coverage >> nth=3'}",0,,0,,0,,0,
completion,run_65,e25b9f19ca103e198785cad9a2cad642,15,15,0,0,0,planning_schema_key,planning,True,5,"Key not in ACTION_SPACE: {'tool': 'click', 'key': '#q_age'}",,,,15,5,False,,,,0,0,False,0,,1,Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage'],14,"Key not in ACTION_SPACE: {'tool': 'click', 'key': '#q_age'}",0,,0,,0,,0,
completion,run_66,295b89ef53d330cb5cfe6771a67850df,5,3,2,0,0,planning_completeness,planning,False,2,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,1,3,3,1,True,1,2,4,4,2,True,0,,3,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,2,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'attention_image_mid'}",0,,0,,0,
completion,run_67,ad983178b351af27b859d7f53b2b51bf,8,6,2,0,0,planning_completeness,planning,False,3,Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage'],1,3,7,7,3,True,3,1,3,3,1,True,0,,5,Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage'],1,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_q1_b'}",2,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'trust_coverage'}",0,,0,,0,
completion,run_68,9ade02b15ca905839600d5cec4c9606b,15,12,3,0,0,planning_completeness,planning,True,5,Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage'],,,,15,5,False,,,,0,0,False,2,"VLM did not return JSON array. Raw: [   {""tool"": ""select"", ""key"": ""mood_impact"", ""value"": ""Neutral""},   {""tool"": ""fill"", ""key"": ""age"", ""value"": 30},   {""tool"": ""select"", ""key"": ""follow_by_age"", ""value"": ""very_closely""}, ",10,Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage'],0,,3,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'trust_coverage'}",0,,0,,0,
completion,run_69,a223678f93cb09a2bee2ecf608ab65e3,15,12,3,0,0,planning_completeness,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",,,,15,5,False,,,,0,0,False,0,,12,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,3,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'trust_coverage'}",0,,0,,0,
completion,run_70,d5e9381cbbb0a308450f6e74eb24ed37,6,6,0,0,0,planning_completeness,planning,False,3,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",1,2,4,4,2,True,1,2,4,4,2,True,0,,6,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,0,,0,,0,,0,
completion,run_71,65b5ae902ff377c726480b89c2d77ccc,15,15,0,0,0,planning_completeness,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",,,,15,5,False,,,,0,0,False,1,"VLM did not return JSON array. Raw: [   {""tool"": ""fill"", ""key"": ""age"", ""value"": ""25""},   {""tool"": ""select"", ""key"": ""follow_by_age"", ""value"": ""somewhat""},   {""tool"": ""select"", ""key"": ""employment_status"", ""value"": ""student",14,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,0,,0,,0,,0,
completion,run_72,64ab1800a6829293a9b3d01a3a394810,22,18,4,0,0,planning_completeness,planning,True,7,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,3,8,8,3,True,,,,15,5,False,0,,18,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,3,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'image_q1'}",1,"Missing/invalid value for fill: {'tool': 'click', 'key': 'field_10'}",0,,0,
completion,run_73,d9ac803e184ae8dfb0c7b3fba58c4204,12,8,4,0,0,planning_completeness,planning,False,4,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],3,2,6,6,2,True,2,3,8,8,3,True,0,,8,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],0,,4,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'image_q1'}",0,,0,,0,
completion,run_74,63ca078be26edd9bee94ccfdc5c3356b,20,20,0,0,0,planning_schema_key,planning,True,6,"Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact', 'attention_text_mid']",3,2,6,6,2,True,,,,15,5,False,0,,8,"Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact', 'attention_text_mid']",12,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_q1_b'}",0,,0,,0,,0,
completion,run_75,b0a92309f7318b731537c8ab20644f8e,15,13,2,0,0,planning_completeness,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",,,,15,5,False,,,,0,0,False,0,,12,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",1,"Key not in ACTION_SPACE: {'tool': 'click', 'key': '#q_age'}",2,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'trust_coverage'}",0,,0,,0,
completion,run_76,9cdc0d7a7a804dee03b4b172baa02a01,8,6,2,0,0,planning_completeness,planning,False,3,"Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact', 'attention_text_mid']",1,2,4,4,2,True,3,2,6,6,2,True,0,,6,"Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact', 'attention_text_mid']",0,,2,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'attention_image_mid'}",0,,0,,0,
completion,run_77,58f979b022019e34e817642c0924089f,26,24,2,0,0,planning_completeness,planning,True,8,"Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact', 'attention_text_mid', 'favorite_moment']",3,4,12,12,4,True,,,,15,5,False,0,,21,"Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact', 'attention_text_mid', 'favorite_moment']",3,"Key not in ACTION_SPACE: {'tool': 'click', 'key': '#q_age'}",2,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'image_q1'}",0,,0,,0,
completion,run_78,66628d52508fd4c7b5b4ed5350b81634,9,9,0,0,0,planning_completeness,planning,False,3,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,2,6,6,2,True,1,2,4,4,2,True,0,,9,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,0,,0,,0,,0,
completion,run_79,99a5fb4ab820b25e75214185f453c098,9,9,0,0,0,planning_completeness,planning,False,4,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",1,2,4,4,2,True,1,3,7,7,3,True,0,,7,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_q1_a'}",0,,0,,0,,0,
completion,run_80,7f1a6d1d2f6622f639543c358bafe62e,15,15,0,0,0,planning_completeness,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact', 'attention_text_mid']",,,,15,5,False,,,,0,0,False,0,,11,"Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact', 'attention_text_mid']",4,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'trust_coverage >> nth=2'}",0,,0,,0,,0,
completion,run_81,a23904a46e0e4fba4bb18eb110729ed7,6,6,0,0,0,planning_schema_key,planning,False,2,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],3,1,3,3,1,True,2,2,5,5,2,True,0,,3,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],3,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_q1_a'}",0,,0,,0,,0,
completion,run_82,82e1c7eb9e23e665f91386a768c3e1e0,17,13,4,0,0,planning_completeness,planning,False,6,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,3,9,9,3,True,1,4,10,10,4,True,0,,13,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,2,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'image_q1'}",2,"Missing/invalid value for fill: {'tool': 'click', 'key': 'field_10'}",0,,0,
completion,run_83,2c0c9571428af96eeec63be0da36da6d,15,15,0,0,0,planning_completeness,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",,,,15,5,False,,,,0,0,False,0,,15,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,0,,0,,0,,0,
completion,run_84,0ab423dda4340894b5e03d66470bb66b,10,8,2,0,0,planning_completeness,planning,False,4,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,2,5,5,2,True,1,3,7,7,3,True,0,,8,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,0,,2,"Missing/invalid value for fill: {'tool': 'click', 'key': 'field_10'}",0,,0,
completion,run_85,d2a9c3dfc4c071baf79d10e629b0287f,13,7,6,0,0,planning_completeness,planning,False,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,4,11,11,4,True,1,2,4,4,2,True,0,,7,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,6,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'trust_coverage'}",0,,0,,0,
completion,run_86,7f4c2bad855502a305d60a5d66d0a661,8,8,0,0,0,planning_completeness,planning,False,3,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],1,3,7,7,3,True,3,1,3,3,1,True,0,,8,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],0,,0,,0,,0,,0,
completion,run_87,1229a25ba67e98bf9513ef3168058548,15,15,0,0,0,planning_completeness,planning,True,5,Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage'],,,,15,5,False,,,,0,0,False,0,,15,Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage'],0,,0,,0,,0,,0,
completion,run_88,df805f32337f94675d98031788d4e5fb,8,8,0,0,0,planning_completeness,planning,False,3,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,2,6,6,2,True,1,2,4,4,2,True,0,,8,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,0,,0,,0,,0,
completion,run_89,830e9a671df75a0e007a118e46c68a8d,21,18,3,0,0,planning_completeness,planning,True,7,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",1,3,7,7,3,True,,,,15,5,False,0,,11,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",7,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'q1_b'}",2,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'attention_image_mid'}",1,"Missing/invalid value for fill: {'tool': 'click', 'key': 'field_10'}",0,,0,
completion,run_90,b49ec0a763570eac556870a3a6794c9a,12,12,0,0,0,planning_completeness,planning,False,4,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,3,9,9,3,True,2,2,5,5,2,True,0,,12,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,0,,0,,0,,0,
completion,run_91,a5b424d24faea2b41ed23c7479deed8c,14,14,0,0,0,planning_completeness,planning,False,4,"Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact', 'attention_text_mid']",3,3,9,9,3,True,3,2,6,6,2,True,0,,12,"Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact', 'attention_text_mid']",2,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'trust_coverage >> nth=2'}",0,,0,,0,,0,
completion,run_92,137f3cb798b7770f1ef42a24459a7f04,17,14,3,0,0,planning_completeness,planning,False,6,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",1,5,13,13,5,True,3,2,6,6,2,True,0,,14,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,3,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'trust_coverage'}",0,,0,,0,
completion,run_93,e12b123d8a1ff96abba7a65840ba63c0,15,11,4,0,0,planning_completeness,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",,,,15,5,False,,,,0,0,False,0,,11,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,4,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'trust_coverage'}",0,,0,,0,
completion,run_94,47376de1062eb57591d86bf8118b96b5,2,2,0,0,0,planning_completeness,planning,False,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,1,3,3,1,True,1,1,1,1,1,True,0,,2,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,0,,0,,0,,0,
completion,run_95,a6376002dfe9f01afb7bebfb2831b597,21,19,2,0,0,planning_completeness,planning,False,7,Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact'],3,4,12,12,4,True,1,4,10,10,4,True,0,,16,Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact'],3,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_q1_a'}",2,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'image_q1'}",0,,0,,0,
completion,run_96,378ff75d1050f6dbb5a2eb58e6abfd99,5,5,0,0,0,planning_completeness,planning,False,2,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],1,2,4,4,2,True,3,1,3,3,1,True,0,,5,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],0,,0,,0,,0,,0,
completion,run_97,482f1f7a1c560648356580ea787300d0,13,13,0,0,0,planning_completeness,planning,False,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",1,2,4,4,2,True,2,4,11,11,4,True,0,,10,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'attention_image_mid_attn_b'}",0,,0,,0,,0,
completion,run_98,38322928a72059108e973c8bf634eabe,19,16,3,0,0,planning_completeness,planning,True,6,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],2,2,5,5,2,True,,,,15,5,False,0,,15,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],1,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'attention_image_mid_q3_b'}",1,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'attention_image_mid'}",2,"Missing/invalid value for fill: {'tool': 'click', 'key': 'field_10'}",0,,0,
completion,run_99,d97115a39765d9d34d78214c052a801d,20,20,0,0,0,planning_schema_key,planning,True,6,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,2,6,6,2,True,,,,15,5,False,0,,9,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",11,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_q1_a'}",0,,0,,0,,0,
completion,run_100,66e6f656239263d052ef4edde0360842,19,18,1,0,0,planning_completeness,planning,False,7,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",1,5,13,13,5,True,1,3,7,7,3,True,0,,18,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,0,,1,"Missing/invalid value for fill: {'tool': 'click', 'key': 'field_10'}",0,,0,
