mode,run_name,run_dir,session_id,plan_reject_count,planning_failure_count,answer_failure_count,infra_failure_count,other_failure_count,dominant_category,dominant_failure_type,stalled,empty_plan_count,first_error,text_success_attempt,text_success_observe_index,text_total_attempts_until_success,text_total_attempts_observed,text_observe_blocks,text_success_found,image_success_attempt,image_success_observe_index,image_total_attempts_until_success,image_total_attempts_observed,image_observe_blocks,image_success_found,category_planning_format,sample_planning_format,category_planning_completeness,sample_planning_completeness,category_planning_schema_key,sample_planning_schema_key,category_answer_option_mapping,sample_answer_option_mapping,category_answer_value_constraints,sample_answer_value_constraints,category_infra_or_transport,sample_infra_or_transport,category_other,sample_other
completion,run_48,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_48,11bd8935573d7684445af4b4e3bf4ca0,10,10,0,0,0,planning_completeness,planning,False,3,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,3,9,9,3,True,3,1,3,3,1,True,0,,7,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'trust_coverage >> nth=2'}",0,,0,,0,,0,
completion,run_49,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_49,7256cecdc2b01ea04ac4976a2d9ba085,21,21,0,0,0,planning_schema_key,planning,True,7,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",1,3,7,7,3,True,,,,15,5,False,0,,10,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",11,"Key not in ACTION_SPACE: {'tool': 'click', 'key': '#q_age'}",0,,0,,0,,0,
completion,run_50,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_50,5636513ee8f2be095898f2f1a43fde2a,28,28,0,0,0,planning_completeness,planning,True,9,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,5,14,14,5,True,,,,15,5,False,0,,18,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",10,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_a'}",0,,0,,0,,0,
completion,run_51,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_51,a2752df511ceb87be8a17c682bcd28cc,6,6,0,0,0,planning_completeness,planning,False,1,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],1,2,4,4,2,True,3,1,3,3,1,True,0,,6,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],0,,0,,0,,0,,0,
completion,run_52,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_52,5901a65df666a44d9fcbd8da13f42293,13,13,0,0,0,planning_completeness,planning,False,5,Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact'],1,4,10,10,4,True,2,2,5,5,2,True,0,,13,Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact'],0,,0,,0,,0,,0,
completion,run_53,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_53,09e9835d8ad8777cae3c905781c7f5a6,8,7,1,0,0,planning_completeness,planning,False,3,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,1,3,3,1,True,1,3,7,7,3,True,0,,7,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,1,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'attention_image_mid'}",0,,0,,0,
completion,run_54,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_54,3bc5cf8db8619507e74218bed08579db,17,17,0,0,0,planning_schema_key,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,1,3,3,1,True,,,,15,5,False,0,,3,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",14,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_a'}",0,,0,,0,,0,
completion,run_55,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_55,32a5ebd9211c2b77174e12d8080613f8,23,23,0,0,0,planning_schema_key,planning,True,7,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],3,3,9,9,3,True,,,,15,5,False,0,,11,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],12,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_a'}",0,,0,,0,,0,
completion,run_56,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_56,1b820a83cdad1e5dbfd17a23d86c538b,18,14,4,0,0,planning_schema_key,planning,True,6,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",1,2,4,4,2,True,,,,15,5,False,0,,7,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",7,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'attention_image_mid_a'}",4,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'image_q1'}",0,,0,,0,
completion,run_57,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_57,fa497120cbcb603562f18d4be2da40a3,29,26,3,0,0,planning_completeness,planning,True,9,Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage'],3,5,15,15,5,True,,,,15,5,False,0,,15,Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage'],11,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_a'}",3,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'trust_coverage'}",0,,0,,0,
completion,run_58,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_58,8320c05de87f51f3bd5e2e9c306a5e29,6,5,1,0,0,planning_schema_key,planning,False,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,1,2,2,1,True,3,2,6,6,2,True,0,,2,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'a'}",1,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'image_q1'}",0,,0,,0,
completion,run_59,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_59,2b0fe2cb2da36cdeadf7e86521fe5cd5,18,14,4,0,0,planning_completeness,planning,False,7,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",1,5,13,13,5,True,1,3,7,7,3,True,0,,14,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,4,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'trust_coverage'}",0,,0,,0,
completion,run_60,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_60,d0b6967b615775ac4fcf874b94f03fd5,4,4,0,0,0,planning_completeness,planning,False,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,1,3,3,1,True,3,1,3,3,1,True,0,,4,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,0,,0,,0,,0,
completion,run_61,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_61,a577245243ee28a97b6aa5fb094fe72d,15,15,0,0,0,planning_completeness,planning,True,5,Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact'],,,,15,5,False,,,,0,0,False,0,,15,Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact'],0,,0,,0,,0,,0,
completion,run_62,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_62,e88879dc1f1620671605bf0d621c60a8,12,9,3,0,0,planning_completeness,planning,False,5,Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact'],1,2,4,4,2,True,1,4,10,10,4,True,0,,9,Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact'],0,,3,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'image_q1'}",0,,0,,0,
completion,run_63,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_63,384a3bd09730555250339c1594f23573,17,15,2,0,0,planning_schema_key,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,1,3,3,1,True,,,,15,5,False,0,,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",10,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_a'}",2,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'attention_image_mid'}",0,,0,,0,
completion,run_64,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_64,6853eede87be99540eb58f301c54d4c4,26,23,3,0,0,planning_completeness,planning,True,8,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,4,12,12,4,True,,,,15,5,False,0,,21,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'attention_image_mid_a'}",3,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'image_q1'}",0,,0,,0,
completion,run_65,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_65,c7dcf74a7cfa52ce40edbe8a9e7440f6,23,18,5,0,0,planning_schema_key,planning,True,7,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,3,9,9,3,True,,,,15,5,False,0,,9,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",9,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_a'}",5,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'trust_coverage'}",0,,0,,0,
completion,run_66,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_66,bad1c21fecb889ec5a882c1f28d6c952,28,25,3,0,0,planning_completeness,planning,True,9,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,5,14,14,5,True,,,,15,5,False,0,,25,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,3,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'attention_image_mid'}",0,,0,,0,
completion,run_67,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_67,c781cfbd6ba52509fe4f06aa4ea72b54,15,12,3,0,0,planning_completeness,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",,,,15,5,False,,,,0,0,False,0,,12,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,3,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'trust_coverage'}",0,,0,,0,
completion,run_68,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_68,285abaec5cf26f4dfb46ba88a23f027c,15,15,0,0,0,planning_completeness,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",,,,15,5,False,,,,0,0,False,0,,15,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,0,,0,,0,,0,
completion,run_69,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_69,e5410cdd5bbe5fa310e012e0c1e2ba02,7,6,1,0,0,planning_completeness,planning,False,2,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],3,2,6,6,2,True,3,1,3,3,1,True,0,,6,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],0,,1,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'image_q1'}",0,,0,,0,
completion,run_70,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_70,0a13012346060411d1a6f7b8cf8ccddc,29,27,2,0,0,planning_completeness,planning,True,9,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],3,5,15,15,5,True,,,,15,5,False,0,,16,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],11,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_a'}",2,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'image_q1'}",0,,0,,0,
completion,run_71,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_71,e4929c52304f743710c1e841289bd50b,16,16,0,0,0,planning_completeness,planning,False,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,5,15,15,5,True,3,1,3,3,1,True,0,,16,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,0,,0,,0,,0,
completion,run_72,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_72,37e8f7d5e7f3566d58bb55897798caab,15,15,0,0,0,planning_completeness,planning,True,5,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],,,,15,5,False,,,,0,0,False,0,,9,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],6,"Key not in ACTION_SPACE: {'tool': 'click', 'key': '#q_age'}",0,,0,,0,,0,
completion,run_73,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_73,61a12fa12191b8d3c64a8f15cc856870,15,14,1,0,0,planning_schema_key,planning,True,5,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_a'}",1,1,1,1,1,True,,,,15,5,False,0,,2,"Completion mode requires answering all answerable items before navigation; missing keys: ['image_q1', 'image_q2', 'image_q3', 'attention_image_mid', 'image_q4']",12,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_a'}",0,,1,"Missing/invalid value for fill: {'tool': 'click', 'key': 'field_10'}",0,,0,
completion,run_74,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_74,e96b29504267bab7fe23fa86fe933007,19,16,3,0,0,planning_completeness,planning,False,7,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",1,3,7,7,3,True,2,5,14,14,5,True,0,,12,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",4,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_a'}",0,,3,"Missing/invalid value for fill: {'tool': 'click', 'key': 'field_10'}",0,,0,
completion,run_75,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_75,72fd13b43a56d55a2384f8fe5460d743,15,15,0,0,0,planning_completeness,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact', 'favorite_moment']",,,,15,5,False,,,,0,0,False,0,,15,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact', 'favorite_moment']",0,,0,,0,,0,,0,
completion,run_76,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_76,9dda8a552d604df42c50229491ce3806,16,16,0,0,0,planning_schema_key,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,1,2,2,1,True,,,,15,5,False,0,,3,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",13,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_a'}",0,,0,,0,,0,
completion,run_77,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_77,5110ace54e5cb283f2af3955ea277c04,15,12,3,0,0,planning_completeness,planning,True,5,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],,,,15,5,False,,,,0,0,False,0,,12,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],0,,3,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'trust_coverage'}",0,,0,,0,
completion,run_78,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_78,46e34a408db36b51cf64b23c1d298f1b,17,15,2,0,0,planning_schema_key,planning,True,5,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],3,1,3,3,1,True,,,,15,5,False,0,,7,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],8,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'attention_image_mid_a'}",2,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'attention_image_mid'}",0,,0,,0,
completion,run_79,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_79,1c6e170ee0df7942be30033d6a341f69,6,6,0,0,0,planning_completeness,planning,False,2,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,2,6,6,2,True,2,1,2,2,1,True,0,,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",1,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_a'}",0,,0,,0,,0,
completion,run_80,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_80,be40321b026a7c1936a0d529beb5afdf,20,20,0,0,0,planning_schema_key,planning,True,6,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],3,2,6,6,2,True,,,,15,5,False,0,,8,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],12,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_a'}",0,,0,,0,,0,
completion,run_81,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_81,83b00a3a8a524f0f8d3c31f8230c6dab,16,14,2,0,0,planning_schema_key,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact', 'attention_text_mid']",2,1,2,2,1,True,,,,15,5,False,0,,7,"Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact', 'attention_text_mid']",7,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_a'}",2,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'image_q1'}",0,,0,,0,
completion,run_82,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_82,6a2bbdfe230a5c4d803f78c1d35a5315,12,12,0,0,0,planning_completeness,planning,False,4,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,3,9,9,3,True,2,2,5,5,2,True,0,,11,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",1,"Key not in ACTION_SPACE: {'tool': 'click', 'key': '#q_age'}",0,,0,,0,,0,
completion,run_83,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_83,2bef50a4e3f45d974e886b1a8e221fad,12,12,0,0,0,planning_completeness,planning,False,4,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],1,3,7,7,3,True,3,2,6,6,2,True,0,,12,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],0,,0,,0,,0,,0,
completion,run_84,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_84,b8154a4005bac5fbcf4ac4c2d014980d,21,21,0,0,0,planning_schema_key,planning,True,7,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact', 'favorite_moment']",1,3,7,7,3,True,,,,15,5,False,0,,7,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact', 'favorite_moment']",14,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_a'}",0,,0,,0,,0,
completion,run_85,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_85,0824d2f997406b238a63aec0cd95ff28,3,3,0,0,0,planning_completeness,planning,False,0,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,1,2,2,1,True,2,1,2,2,1,True,0,,3,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,0,,0,,0,,0,
completion,run_86,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_86,4d8d14322a9cfdfbb80881a2400e1584,7,7,0,0,0,planning_completeness,planning,False,2,"Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact', 'attention_text_mid']",1,3,7,7,3,True,2,1,2,2,1,True,0,,7,"Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact', 'attention_text_mid']",0,,0,,0,,0,,0,
completion,run_87,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_87,996f4ff26985028cb62033f836e6b7bf,5,5,0,0,0,planning_completeness,planning,False,2,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,2,6,6,2,True,1,1,1,1,1,True,0,,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,0,,0,,0,,0,
completion,run_88,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_88,2ffb9409c6f1584293f495ad54f416e8,15,15,0,0,0,planning_completeness,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",,,,15,5,False,,,,0,0,False,0,,15,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,0,,0,,0,,0,
completion,run_89,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_89,3a3ffd097ca384bdf1e21e4fa51aa049,15,15,0,0,0,planning_completeness,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",,,,15,5,False,,,,0,0,False,0,,11,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",4,"Key not in ACTION_SPACE: {'tool': 'click', 'key': '#q_age'}",0,,0,,0,,0,
completion,run_90,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_90,55f31ffa0c1d636c5ed7fb33bfbee69a,15,11,4,0,0,planning_completeness,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact', 'attention_text_mid']",,,,15,5,False,,,,0,0,False,0,,11,"Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact', 'attention_text_mid']",0,,4,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'trust_coverage'}",0,,0,,0,
completion,run_91,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_91,6374d74f638adc24f64527b05145fe04,17,16,1,0,0,planning_schema_key,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,1,3,3,1,True,,,,15,5,False,0,,7,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",9,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_a'}",0,,1,"Missing/invalid value for fill: {'tool': 'click', 'key': 'field_10'}",0,,0,
completion,run_92,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_92,cc17073127eb4dce1c3725fde8b4e0b1,18,17,1,0,0,planning_completeness,planning,False,6,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,5,15,15,5,True,2,2,5,5,2,True,0,,17,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,0,,1,"Missing/invalid value for fill: {'tool': 'click', 'key': 'field_10'}",0,,0,
completion,run_93,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_93,771886ec473bf46c1fadb6aeb4310af5,20,20,0,0,0,planning_schema_key,planning,True,6,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],3,2,6,6,2,True,,,,15,5,False,0,,9,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],11,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_a'}",0,,0,,0,,0,
completion,run_94,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_94,8997a4314514e742627cfd0ba8e17ea2,17,15,2,0,0,planning_schema_key,planning,True,5,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],3,1,3,3,1,True,,,,15,5,False,0,,3,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],12,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_a'}",2,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'image_q3'}",0,,0,,0,
completion,run_95,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_95,d7c5e575e47e628ffb0d616ade81cfa0,22,17,5,0,0,planning_completeness,planning,False,8,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",1,5,13,13,5,True,2,4,11,11,4,True,0,,9,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",8,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_a'}",5,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'trust_coverage'}",0,,0,,0,
completion,run_96,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\qwen2.5-vl-7b-instruct\completion\run_96,8c4ec9a5cc9acce7de070b4a81648dc3,15,12,3,0,0,planning_completeness,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",,,,15,5,False,,,,0,0,False,0,,12,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,3,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'trust_coverage'}",0,,0,,0,
